id,ageism,asianhate,immigration,mask,politics,vaccine
5552,0,0,0,0,0,0
5556,0,0,0,0,0,0
5559,0,0,0,0,0,0
5564,0,0,0,0,1,0
5578,0,1,1,0,0,0
5581,0,0,0,0,0,0
5584,0,0,0,0,1,0
5586,0,0,0,0,0,0
5588,0,0,0,0,0,0
5592,0,0,0,0,0,0
5600,1,1,1,1,1,1
5601,1,1,1,1,1,1
5602,0,0,0,0,0,0
5604,0,0,0,0,0,0
5608,0,1,1,0,0,0
5614,0,0,0,0,0,0
5616,1,1,1,1,1,1
5628,0,0,0,0,0,0
5644,0,0,1,0,1,0
5646,0,0,0,0,0,0
5650,0,0,0,0,0,0
5652,0,0,0,0,0,0
5654,1,1,1,1,1,1
5655,1,1,1,1,1,1
5660,0,1,1,0,1,0
5670,0,0,0,0,0,0
5671,1,1,1,1,1,1
5672,0,1,0,0,0,1
5675,0,0,0,0,0,0
5681,0,0,0,0,0,0
5682,1,0,0,1,0,0
5683,0,0,0,0,0,0
5684,0,0,0,0,0,0
5696,0,0,0,0,0,0
5697,0,0,0,0,0,0
5698,1,0,0,1,0,1
5701,0,0,0,0,0,0
5704,0,0,0,0,0,0
5709,0,0,0,0,0,0
5713,0,0,0,1,0,0
5714,1,0,0,0,0,0
5716,0,0,0,0,0,1
5717,0,0,1,0,1,0
5721,0,0,0,0,0,0
5729,1,1,1,1,1,1
5730,0,0,0,0,0,0
5735,1,1,1,1,1,1
5737,1,1,1,1,1,1
5743,0,0,0,0,0,0
5744,0,0,0,0,0,0
5747,1,1,1,1,1,1
5750,0,0,0,0,0,0
5753,0,1,1,0,0,0
5754,0,0,0,0,0,0
5755,0,1,0,0,0,1
5758,1,1,1,1,1,1
5762,0,0,0,0,0,0
5764,0,0,0,0,0,0
5765,0,0,0,0,0,0
5767,0,0,0,0,0,0
5768,0,0,0,0,0,0
5772,0,0,0,0,0,0
5774,0,0,0,0,0,0
5776,1,1,0,1,0,1
5782,0,0,0,0,0,0
5784,0,0,0,0,0,0
5789,0,1,0,1,0,1
5793,1,1,1,1,1,1
5799,1,0,1,0,1,0
5800,0,0,0,0,0,0
5805,0,0,0,0,0,0
5806,0,0,0,0,0,0
5807,0,0,0,0,0,0
5809,0,0,0,0,0,0
5817,1,1,1,1,1,1
5825,0,0,0,0,1,0
5827,1,1,1,1,1,1
5834,1,1,1,1,1,1
5835,1,0,0,0,0,0
