topic,hashtag,tweet_id,image_path,sample_path,body_text,image_text,text_with_OCR
AsianHate,ChinaLiedPeopleDied,1297404417201729537,./data_AsianHate/ChinaLiedPeopleDied/tweets4/EgFOZFXUMAAyyUm.jpg,,"@StateDept @SecPompeo Freedom is not free, we must stop #CCPChina to crushing our freedom and human rights, we all know that CCP is terrism. 
#ChinaLiedPeopleDied #CCP_is_terrorist https://t.co/bygxa32VyA",,ae and those ne who tell the truth SECRETARY OF STATE
Political,Trump2020,1295728759711109124,./data_Political/Trump2020/tweets3/EftablLWsAEEsdq.jpg,,@JoeBiden Obama-Biden’s response to the H1N1 was a total disaster! But like a lot of things they got a free pass from the Fake News Media! #coronavirus #Trump2020 #MAGA https://t.co/Q0ih2Iaqm0,,eM During the swine flu pandemic the Administration suddenly told to SHUT DOWN their testing oe oe shut down testing on cor
Mask,masks,1298378857423101952,./data_Mask/masks/tweets4/EgTEr14U0AEK1JL.jpg,,"Back to school shopping with my new high school student. Maybe my tee will be a reminder to the anti-maskers. But I doubt it. 

#masks
@NHM_London 
@NHM_Science https://t.co/ZCys0W8pkV",,na aA ON THE ORIGIN OF SPECIES WORLD TOUR
Political,maga,1291080659767889920,./data_Political/maga/tweets1/EerXA8YXYAYTHrz.jpg,,"One Party supports post-birth abortion.

The other Party puts “Faith” on their rally signs.

I’ll go with Faith.

#MAGA #KAG #FlaPol https://t.co/3RFK3BoKrZ",,AN in at Po aa
Immigration,americafirst,1295930048583815168,./data_Immigration/americafirst/tweets3/EfwRdl_WoAAuKgA.jpg,./annotation_data/Immigration/EfwRdl_WoAAuKgA.jpg,"Vindiciae Contra Tyrannos: Defense of Liberty Against Tyrants.

Good night @POTUS @FLOTUS and all Patriots!

#DefeatSpanberger #Virginia #VoterID #Hannity #IngrahamAngle #BlueLivesMatter #Military #2A #BackTheBlue #VoteRed2020 #AmericaFirst #AmericansFirst #1A #FoxNewsAtNight https://t.co/DQKltGVRw7",,WED CARE WHICH ONE YOU ARE WE ARE AGAINST ALL FOREIGN we Ay cal oil YOUR ASS IS
Mask,facemask,1290302385873551373,./data_Mask/facemask/tweets1/EegTLTzU0AEIrRG.jpg,,So happy wearing this fabulous face mask by @dianamputri while conducting rapid test last Friday! Wohoo! &gt;&lt; #facemask #dianacouture https://t.co/pGoSHpsanD,,aa
Boomer,trumpliesamericansdie,1291012085929971714,./data_Boomer/trumpliesamericansdie/tweets1/EeqYNtOXYAIpsGT.png,,"@HuffPostWomen July 31, NPR reported Florida COVID19 death toll keeps rising. However, after the #axios interview NPR posted #Florida cases/deaths are in a decline. 
#TrumpLiesAmericansDie 
#FloridaCovidEpicenter #Floridacoronavirus #covid19 https://t.co/X8heHNA2o5",,coir Se ea ne eR So En open the state public health expert me Yr PUR Tin alee rami setting daily death toll from The state is wah
Immigration,cdnpoli,1295791153363562496,./data_Immigration/cdnpoli/tweets3/EfuSg7HU8AAU9FF.jpg,./annotation_data/Immigration/EfuSg7HU8AAU9FF.jpg,"Congratulations @cafreeland, a #Harvard and #Oxford University alumni for accepting #Canadian Finance Minister role during this difficult time. Needless to say, you are one of my role model politicians in the world. #cdnpoli  @JustinTrudeau @liberal_party https://t.co/uYzzC6n1Hg",,es
Boomer,trumpliesamericansdie,1292988243886170117,./data_Boomer/trumpliesamericansdie/tweets2/EfGdrJ3XYAIrNeU.jpg,,"Reporters SHOULD #InterruptTrump , and all WALK OUT as one when he lies and bullies a fellow reporter. 
His ""briefings"" are no more than masturbatory rallies for himself anyway, and not worthy of even covering! 
#TrumpIsACompleteFailure #LiarInChief #TrumpLiesAmericansDie https://t.co/54mNQ4RL7S",,aa Ta za AS
Boomer,karen,1292158690938646529,./data_Boomer/karen/tweets2/Ee6re1qVAAASLVr.jpg,,2 Bedroom (All En-suite) - KILIMANI https://t.co/edAF8BYC4j #realestate #realestateagent #Karen #Homes #Houses #bungalow #Villas #Holidays #vacaymode #Affordable#GatedCommunity #Furnished #Plots #LandforSale #nairobi #ForSale #coronaviruskenya #Realtor #NairobiApartments... https://t.co/QdU3DNdjfM,,tH oe wi
Immigration,americafirst,1298375010113945600,./data_Immigration/americafirst/tweets4/EgTBK-tXsAUI3bp.jpg,./annotation_data/Immigration/EgTBK-tXsAUI3bp.jpg,He's gonna mail in his vote. #America #AmericaFirst #RNC2020 #freedom @J47130015 @catturd2 @DonaldJTrumpJr @realDonaldTrump @w_terrence #SocialismKills https://t.co/NdLzRbe5n9,,
Vaccine,VaccinesWork,1298624526176202752,./data_Vaccine/VaccinesWork/tweets4/EgWjYVyWkAEa7eo.jpg,./annotation_data/Vaccine/EgWjYVyWkAEa7eo.jpg,"Africa reached a remarkable milestone and was declared wild #polio free

Because #VaccinesWork
Because of reliable supply chains
Because of strong partnerships
Because of dedicated health workers
 
Congratulations to #Africa and to everyone supporting the fight to #EndPolio. https://t.co/gU6L3P89vT",,for every child
AsianHate,ChinaVirus,1298246090517614593,./data_AsianHate/ChinaVirus/tweets4/EgRLtJ5XYAIMMOt.png,,Have you seen how #Chinavirus introduced all kind of #ConspiracyTheories  and #qanon into Mainstream population talk in the last couple of months. Now everybody is Conspiracy Theorist or Living the Conspiracy ? https://t.co/MpRQdnw10s,,If they say people who do not vaccinate are danger to people who do vaccinate what are those actually for then mind Just trying to free your me
AsianHate,CCPVirus,1293531005043855361,./data_AsianHate/CCPVirus/tweets2/EfOKPNkWAAApjCj.jpg,,"@honghong975 CCP tries to colonize our country Iran by a secret 25-years treaty. CCP will never stop its expansionism ideology and will delete freedom once they control a country.
We must get united against #CCPVirus.
🦁☀️+🇭🇰+🇹🇼+🇮🇳+🇦🇺
#MilkTeaAlliance https://t.co/CNdoH9DlbI",,poe ae om aa Pay pat ae Cay mY LIBERATE HONG or wet
